Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
ALRM,"Alarm.com Holdings, Inc.",47.08,N/A,2269.28384,46.97,N/A,1.040665453
ALTM,Altus Midstream Co.,2.085,N/A,672.603651,-29.14,N/A,1.319436286
ALTR,"Altair Engineering, Inc.",38.06,N/A,2704.246083,-161.84,N/A,1.255518892
ALX,"Alexander's, Inc.",325.98,0.055617353,1652.82948,30,1.656512856,0.552565464
AMAG,"AMAG Pharmaceuticals, Inc.",9.515,N/A,322.202,-1.13,N/A,1.331825101
AMAL,Amalgamated Bank,18.58,0.013911182,593.811204,12.5,0.174789916,0.913350197
AMBA,"Ambarella, Inc.",72.57,N/A,2262.59676,-65.16,N/A,1.823101809
AMBC,"Ambac Financial Group, Inc.",22.15,N/A,1015.39866,-8.07,N/A,0.778609377
AMC,"AMC Entertainment Holdings, Inc.",6.86,0.115273775,720.717501,20.05,2.337814144,1.221945667
AMED,"Amedisys, Inc.",198.7,N/A,6293.91815,50.33,N/A,1.073868526
AMEH,"Apollo Medical Holdings, Inc.",17.95,N/A,657.3747,144.88,N/A,0.567785577
AMK,"AssetMark Financial Holdings, Inc.",32.2,N/A,2301.596,N/A,N/A,-0.219420626
AMKR,"Amkor Technology, Inc.",13,N/A,3174.72692,25.82,N/A,1.637645486
AMN,"AMN Healthcare Services, Inc.",71.62,N/A,3344.5076,27.41,N/A,0.938523047
AMNB,"American National Bankshares, Inc. (Virginia)",36.09,0.028969359,397.4848,17.78,0.512896385,1.082342652
AMOT,"Allied Motion Technologies, Inc.",46.76,0.002603602,442.464,27.01,0.06956925,1.260840389
AMPH,"Amphastar Pharmaceuticals, Inc.",20.005,N/A,937.35186,18.15,N/A,0.999078178
AMRC,"Ameresco, Inc.",21.7,N/A,954.71541,29.72,N/A,0.897847234
AMRS,"Amyris, Inc.",3.845,N/A,379.8108,-1.34,N/A,2.115142817
AMRX,"Amneal Pharmaceuticals, Inc.",5.11,N/A,1507.46904,-1.96,N/A,2.396054438
AMSC,American Superconductor Corp.,7.8,N/A,160.84335,-8.26,N/A,1.392069885
