symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
ACER,"Acer Therapeutics, Inc.",5.17915,5.17915,0.0,0.0,0.0,0.0,-1466.63015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7735,-0.7861999999999999,-11.76275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6325,7.46287930864935,7.46287930864935,0.0,0.0,0.0,0.0,0.0,0.0623,0.0784,0.060899802143935,0.06883711713510986,-7.0398,-61.45264181672618,1.2256678053225,-42.55885,-42.926,144.88695,0.0,0.0,0.0,0.0,-61.45264181672618,-61.51141990466381,-61.89551626591,-61.89551626591,0.0,0.0,-1.1982000000000002,0.2465,-0.9675499999999999,-0.5036499999999999,-0.5036499999999999,0.27485000000000004,0.27485000000000004,0.0,-258.45805,-260.55400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27685,-0.17345,0.0,0.0,0.0,0.0,0.0,1.1194,1.28125,2.3159,-0.2612,-0.1493,472.6361537782112
ACHN,"Achillion Pharmaceuticals, Inc.",42.4328,42.4328,49.7026,0.0,3.3096999999999994,0.0,-6.84075,0.0,0.0,0.0,-5.1717980295565,0.5,-5.192528735632,-5.230090311987,0.0,-3.7658,-12.93895,0.0,0.0,0.0,-5.1717980295565,3.3096999999999994,0.4178,0.0,2.43475588338602,0.008318856119485999,6.2075000000000005,5.9817904575581,3.08706970005675,0.0,-21.91885,0.0,-1213.2633,0.0,0.14475,1.6113,0.144892286309935,0.38592524647119597,-66.85025,-29.30036631701435,6.2854755717673,-0.6899500000000001,-0.6925,0.46795,0.0,3.3096999999999994,-4.98706896551725,0.0,-29.30036631701435,-29.7945093159943,-337.52747252747,-337.52747252747,0.0,4.5146500000000005,0.03515,0.045349999999999994,0.0481,0.36415,0.36415,0.51905,0.51905,0.0,0.007649999999999997,0.0054500000000000035,0.0,-0.3418,-0.20355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46625,0.0,0.0,0.0,1.3923,0.0,1.64635,13.38725,-0.66575,-0.004550000000000005,0.050300000000000004,97.90332061244102
ACIW,"ACI Worldwide, Inc.",2.9814,76.00385,1.7849,31.630450000000003,4.13125,13.04545,12.08225,2.79472852967025,0.5755916004262249,0.94060843227806,0.1048994726243485,0.6876905275505201,0.115332714599445,0.056681485762866496,0.42440839957377496,0.42124999999999996,0.09475,0.11984999999999998,0.5755916004262249,0.94060843227806,0.1048994726243485,4.13125,8.04215,0.0,22.8317795756935,0.691635465750055,1.246,1.07718968481724,0.638548772836685,0.0,86.84745,0.0,14.56915,0.0,0.1259,0.30555,0.120554357155945,0.23397659335851,18.9961,0.83683333333335,2.42635152669635,0.61825,0.579,1.4614,0.0,4.13125,0.151647132521535,0.9362493969855601,0.83683333333335,0.54205333333335,15.716117310432999,15.716117310432999,0.0,0.0023500000000000014,0.25695,0.6025,0.6202,0.6329,0.65265,-0.01365,-0.01335,0.0,0.2035,0.21635,0.0252,0.0839,0.08085,0.0006,0.03765,0.22895,-0.04325,-0.1059,-0.1361,0.00525,0.0602,0.032,0.0,0.0,0.0,-0.027499999999999997,0.0,0.0434,0.10855000000000001,0.0,-0.01125,-0.09494999999999999,299.8542021163241
ACLS,"Axcelis Technologies, Inc.",1.2236,1.2236,1.20925,0.0,6.4308,0.0,-32.91965,0.0,0.0,0.0,-0.31299332614496145,0.26143517904374003,-0.2852718193237915,-0.32311121359913747,0.0,-0.23335,-0.22175,-0.15195,0.0,0.0,-0.31299332614496145,6.4308,4.196300000000001,1.7300499999999999,5.19293563567055,0.7553280818745249,4.931,1.9204785955345498,1.174805412162155,-304.86514999999997,64.5831,0.0,37.623149999999995,0.0,0.0,0.0,0.0,0.0,-22.3529,0.0,1.2621940666022,-0.7681,-0.804,1.8395,0.0,6.4308,-0.1382848753301125,0.0,0.0,0.0,-38.75421381827605,-38.75421381827605,0.0,0.75345,0.68665,0.71795,0.68965,0.6902999999999999,0.6902999999999999,0.0086,0.0086,0.0,0.5648500000000001,0.5640000000000001,-0.1143,-0.15385,-0.23654999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.08410000000000001,-0.14165,-0.24695,0.0,0.0,0.0,0.8632,-0.13985,-0.1643,-0.19325,-0.5,-0.1368,-0.15839999999999999,195.71473177531382
ACNB,ACNB Corp.,0.93075,1.04535,2.1196,10.83205,0.0,10.48435,8.907250000000001,2.0545648624389,0.822707076907845,1.0,0.23782227048396,1.0,0.23782227048396,0.19529448957950002,0.177292923092155,0.0,0.0858,0.0,0.822707076907845,1.0,0.23782227048396,0.0,0.0,0.0,2.7722005111987498,0.041427882008285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13274999999999998,1.41085,0.0,0.0,0.0,0.0,10.6126135517985,1.62955,1.373,4.07455,0.579,0.0,0.24202482285597,0.845194192684515,0.0,0.0,6.75862228830405,1.6016535591268,0.580117637397625,0.09845,0.159,0.159,0.11829999999999999,0.12175,0.12175,-0.0052,0.0,0.0,-0.1535,-0.15515,0.042050000000000004,0.02975,0.03,0.02035,-0.04645,0.1126,-0.00715,-0.0284,-0.012300000000000002,0.0369,0.02355,0.01765,-0.01225,-0.0343,0.02375,0.0,0.0,-0.00405,0.059300000000000005,-0.19924999999999998,0.0,0.07139999999999999,185.79314424591632
ACOR,"Acorda Therapeutics, Inc.",6.9531,8.020199999999999,11.5739,0.0,12.095500000000001,12.6837,-15.28845,0.0,0.0,0.0,-0.747819894082755,0.8011400567705,-0.765164718617557,-0.798463060831602,0.0,-0.2155,-0.3445,-0.2919,0.0,0.0,-0.747819894082755,12.095500000000001,3.0020000000000002,8.4094,44.2702325585135,0.36473275211136,3.6685,3.30599963642125,0.51265288669828,-304.24694999999997,40.4373,0.0,54.9717,0.0,0.02185,0.05015,0.044260150169412496,0.0477252485159375,-10.00665,1.40521504723385,2.2939561245537003,0.2614,0.21400000000000002,1.0864,0.0,12.095500000000001,0.30301909244576,0.485142620489725,1.40521504723385,-8.3981643356645,12.8988136785937,12.8988136785937,0.0,1.3819,0.37229999999999996,0.39494999999999997,0.36535,0.42335,0.42335,0.0641,0.0641,0.0,0.14429999999999998,0.08294999999999997,0.0,-0.13835,0.24029999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35325,0.0,0.0,0.0,1.5611499999999998,2.3479,0.10285,-0.16,0.03025,-0.0852,0.35095,-11.163105156824448
ACRX,"AcelRx Pharmaceuticals, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,-6.6128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17535000000000012,0.29864999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.292,1.20538075912401,0.733235297853075,0.0,0.0,0.0,0.0,0.0,1.2149999999999999,-0.183,0.0,0.0,-12.2333,-1.50642493782015,0.0,-26.163899999999998,-26.2633,8.8666,0.0,0.0,0.0,0.0,-1.50642493782015,-2.5633732804501497,-1615.59346846847,-1615.59346846847,0.0,0.0,0.19115,0.21995,0.15664999999999998,0.28759999999999997,0.28759999999999997,0.179,0.179,0.0,0.1716,0.18485000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44484999999999997,-0.19795000000000001,0.011450000000000002,-0.31279999999999997,0.31185,85.26534425167
ACTG,Acacia Research Corp.,6.5386,8.6542,5.58375,12.3524,15.43305,32.64075,19.06495,1.1973813305924,0.475692213126205,0.5,0.05347131755718,0.436765338886835,0.1039658341811125,0.04532003261607499,0.024307786873795,0.028100000000000014,0.04794999999999999,0.4264499999999999,0.475692213126205,0.5,0.05347131755718,15.43305,2.6332,0.0,694.81997273347,0.919292565553715,4.146,4.0789294738234,3.7612659152583,0.0,24.905700000000003,0.0,31.524949999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33972587463615,0.96465,0.6745,2.4513,0.0,15.43305,0.29005607988495,0.607160345804395,0.0,0.0,3.54353660480045,3.54353660480045,0.0,1.4578000000000002,2.20855,4.1708,2.09765,1.97735,1.87205,0.048299999999999996,0.09469999999999999,0.0,3.49315,9.2884,0.8109999999999999,0.27595000000000003,0.25745,0.0,0.0,0.0,0.0,0.0,0.0,-0.037000000000000005,-0.0823,-0.023849999999999996,0.0,0.0,0.0,0.12509999999999996,0.0,0.3966,0.40925,0.0,0.53305,0.09345,-70.665648489116
ADC,Agree Realty Corp.,1.4277,1.4658,7.643800000000001,13.35265,19.098550000000003,6.4339,8.9398,0.02471656370628,1.0,0.811414294667425,0.6670633972049,0.897006137911195,0.450965717052615,0.54128010361385,0.0,0.0,0.10815,0.0,1.0,0.811414294667425,0.6670633972049,19.098550000000003,0.50205,0.0,0.112740268820675,0.109162890802961,0.0,0.0,0.0,0.0,20.194049999999997,0.0,47.00175,0.0,0.37495,0.6863999999999999,0.0,0.0,5.303100000000001,0.0,1.824851941097,2.86475,-0.23699999999999988,0.0744,1.088,19.098550000000003,0.844871729733485,-0.08598385884605997,0.0,0.0,1.6252181080408499,0.65530940906804,1.1112828139742,-0.078,-0.0388,-0.28725,0.009449999999999993,-0.065,-0.0681,0.07970000000000001,0.0,0.00995,0.09129999999999999,12.7948,-0.0411,-0.0443,-0.07629999999999999,0.005900000000000001,0.0126,0.0188,0.01555,-0.020900000000000002,-0.007599999999999999,0.038900000000000004,0.0154,0.00715,0.009899999999999999,0.00755,0.0109,0.36439999999999995,0.0,0.0539,0.032200000000000006,-0.0023999999999999994,0.0,0.0714,693.3154667500867
ADES,"Advanced Emissions Solutions, Inc.",0.8894,0.91445,2.94875,0.0,3.1935000000000002,4.68995,-9.83455,0.0,0.0,0.0,-0.89581604771127,0.46102310062831,-0.76523144734398,-0.9171181860587,0.0,-2.5037000000000003,3.48285,-0.5358499999999999,0.0,0.0,-0.89581604771127,3.1935000000000002,1.33175,0.0,14.146459761383401,0.516490041941535,1.5605,1.3592080533137851,0.51015442668173,0.0,127.13135,0.0,78.1884,0.0,0.0,0.0,0.0,0.0,-750.5625,0.0,0.84461075375225,0.3387,0.22949999999999998,0.38010000000000005,0.0,3.1935000000000002,0.22293900734844302,0.37541613316261,0.0,0.0,-0.7010899002805502,-0.7010899002805502,0.0,0.6891,-1.11415,-0.76305,-1.8425000000000002,-1.6109499999999999,-1.6109499999999999,0.10165,0.10165,0.0,4.470549999999999,3.27175,0.0,0.06709999999999999,-0.0127,0.0,0.22725,0.37865,0.0,0.0,0.0,0.0,0.0181,-0.05445,0.0,0.0,0.0,0.26289999999999997,0.0,-0.22685,-0.74925,0.0,0.09459999999999999,0.89235,226.76904798952938
